id,nameJA,nameEN,department,status,statusLabelJA,statusLabelEN,phase,phaseLabelJA,phaseLabelEN,budgetJA,budgetEN,progress,durationJA,durationEN,goalJA,goalEN
crm-upgrade,CRMシステムアップグレード,CRM System Upgrade,it,on-track,順調,On Track,implementation,実装,Implementation,¥1.2B,$8.0M,65,2025年1月 - 2025年12月,Jan 2025 - Dec 2025,顧客データの統合と分析機能の強化により、営業効率を30%向上,Improve sales efficiency by 30% through integrated customer data and enhanced analytics
cloud-migration,クラウドマイグレーション,Cloud Migration,it,delayed,遅延,Delayed,planning,計画,Planning,¥800M,$5.3M,25,2025年3月 - 2026年6月,Mar 2025 - Jun 2026,インフラコストを40%削減し、システムの可用性を99.9%に向上,Reduce infrastructure costs by 40% and improve system availability to 99.9%
cybersecurity,サイバーセキュリティ強化,Cybersecurity Enhancement,it,on-track,順調,On Track,implementation,実装,Implementation,¥450M,$3.0M,70,2024年10月 - 2025年12月,Oct 2024 - Dec 2025,ゼロトラストアーキテクチャの導入によるセキュリティリスクの80%削減,Reduce security risks by 80% through Zero Trust architecture implementation
sales-automation,営業プロセス自動化,Sales Process Automation,sales,on-track,順調,On Track,implementation,実装,Implementation,¥320M,$2.1M,55,2025年4月 - 2025年11月,Apr 2025 - Nov 2025,AI活用で営業活動を自動化し、リードコンバージョンを25%向上,Automate sales activities with AI to improve lead conversion by 25%
customer-insights,顧客インサイト分析,Customer Insights Analytics,sales,at-risk,要注意,At Risk,design,設計,Design,¥280M,$1.9M,40,2025年6月 - 2026年3月,Jun 2025 - Mar 2026,機械学習による顧客行動予測で、クロスセル/アップセルを35%増加,Increase cross-sell/upsell by 35% through ML-based customer behavior prediction
talent-management,タレントマネジメントシステム,Talent Management System,hr,on-track,順調,On Track,implementation,実装,Implementation,¥520M,$3.5M,60,2025年2月 - 2025年12月,Feb 2025 - Dec 2025,AIベースの人材管理で従業員エンゲージメント20%向上、離職率15%削減,Improve employee engagement by 20% and reduce turnover by 15% with AI-based talent management
hr-portal,従業員ポータル刷新,Employee Portal Renewal,hr,completed,完了,Completed,completed,完了,Completed,¥180M,$1.2M,100,2024年8月 - 2025年6月,Aug 2024 - Jun 2025,UX改善により従業員のセルフサービス利用率を80%に向上、HR業務負荷40%削減,Improve employee self-service usage to 80% and reduce HR workload by 40% through UX improvement
financial-reporting,財務レポーティング高度化,Advanced Financial Reporting,finance,on-track,順調,On Track,implementation,実装,Implementation,¥680M,$4.5M,50,2025年1月 - 2026年2月,Jan 2025 - Feb 2026,リアルタイム財務分析とAI予測により、月次決算処理時間を50%短縮,Reduce monthly closing time by 50% through real-time financial analysis and AI forecasting
smart-factory,スマートファクトリー構築,Smart Factory Development,manufacturing,on-track,順調,On Track,design,設計,Design,¥2.1B,$14.0M,38,2025年7月 - 2027年3月,Jul 2025 - Mar 2027,IoT/AI活用による生産効率30%向上、不良品率50%削減,"Improve production efficiency by 30% with IoT/AI, reduce defect rate by 50%"
supply-chain,サプライチェーン最適化,Supply Chain Optimization,manufacturing,planning,計画中,Planning,planning,計画,Planning,¥920M,$6.1M,15,2025年10月 - 2026年12月,Oct 2025 - Dec 2026,AI需要予測と在庫最適化で在庫コスト25%削減、納期遵守率95%達成,Reduce inventory costs by 25% and achieve 95% on-time delivery with AI demand forecasting
customer-portal,カスタマーポータル,Customer Portal,customer-service,completed,完了,Completed,completed,完了,Completed,¥380M,$2.5M,100,2024年10月 - 2025年9月,Oct 2024 - Sep 2025,セルフサービス化で問い合わせ対応60%削減、顧客満足度15%向上,"Reduce inquiry handling by 60% through self-service, improve satisfaction by 15%"
ai-chatbot,AIチャットボット導入,AI Chatbot Implementation,customer-service,on-track,順調,On Track,implementation,実装,Implementation,¥290M,$1.9M,72,2025年3月 - 2025年11月,Mar 2025 - Nov 2025,24時間対応の自動応答で一次対応率80%達成、顧客待ち時間70%短縮,"Achieve 80% first-contact resolution with 24/7 automated responses, reduce wait time by 70%"
